objeto,tipo,capa,dominio,grupo,materializacion,relacion,contrato_enforced,tiene_descripcion,columnas,columnas_con_descripcion,tests,tests_pass,tests_warn,tests_fail,n_upstream,n_downstream,n_downstream_transitivo,dashboards_impactados,sistemas_origen,upstream,downstream,archivo
rpt_demanda_diaria,model,gold,inventario,07_forecast_inventario,table,gold.rpt_demanda_diaria,sí,sí,7,0,3,3,0,0,3,0,0,07,ads crm erp pos,dim_fecha dim_producto fct_pedido,,models/gold/07_forecast_inventario/rpt_demanda_diaria.sql
rpt_inventario_actual,model,gold,inventario,07_forecast_inventario,table,gold.rpt_inventario_actual,sí,sí,8,0,5,5,0,0,3,0,0,07,ads crm erp pos wms,dim_producto fct_inventario_snapshot fct_producto_forecast,,models/gold/07_forecast_inventario/rpt_inventario_actual.sql
rpt_facturas,model,gold,finanzas,08_flujo_caja,table,gold.rpt_facturas,sí,sí,7,0,6,6,0,0,3,0,0,08,ads crm erp pos,dim_cliente fct_factura fct_pago,,models/gold/08_flujo_caja/rpt_facturas.sql
rpt_marketing_canales,model,gold,marketing,09_roi_marketing,table,gold.rpt_marketing_canales,sí,sí,7,0,3,3,0,0,3,0,0,09,ads crm erp pos,dim_canal dim_mes int_canal_mes_metricas,,models/gold/09_roi_marketing/rpt_marketing_canales.sql
rpt_transacciones_ejecutivo,model,gold,ventas,10_reporte_ejecutivo,table,gold.rpt_transacciones_ejecutivo,sí,sí,7,0,2,2,0,0,4,0,0,10,ads crm erp pos,dim_cliente dim_producto dim_region fct_pedido,,models/gold/10_reporte_ejecutivo/rpt_transacciones_ejecutivo.sql
rpt_fuente_unica,model,gold,sucursales,11_fuente_unica,table,gold.rpt_fuente_unica,sí,sí,4,0,2,2,0,0,2,0,0,11,sucursales,dim_sucursal fct_venta_sucursal,,models/gold/11_fuente_unica/rpt_fuente_unica.sql
rpt_revision_manual_monto_faltante,model,gold,sucursales,11_fuente_unica,table,gold.rpt_revision_manual_monto_faltante,sí,sí,4,0,1,1,0,0,2,0,0,11,sucursales,dim_sucursal fct_venta_sucursal_pendiente_revision,,models/gold/11_fuente_unica/rpt_revision_manual_monto_faltante.sql
rpt_encuestas_nps,model,gold,cliente,12_nps,table,gold.rpt_encuestas_nps,sí,sí,5,0,5,5,0,0,1,0,0,12,crm encuestas,fct_encuesta_nps,,models/gold/12_nps/rpt_encuestas_nps.sql
rpt_plan_remediacion,model,gold,calidad,13_data_health,table,gold.rpt_plan_remediacion,sí,sí,9,0,4,4,0,0,3,0,0,13,crm erp,dq_plan_remediacion dq_regla dq_scorecard_tabla,,models/gold/13_data_health/rpt_plan_remediacion.sql
rpt_reglas_validacion,model,gold,calidad,13_data_health,table,gold.rpt_reglas_validacion,sí,sí,11,0,3,3,0,0,3,0,0,13,crm erp,dq_regla dq_resultado_regla dq_scorecard_tabla,,models/gold/13_data_health/rpt_reglas_validacion.sql
rpt_scorecard_calidad_tablas,model,gold,calidad,13_data_health,table,gold.rpt_scorecard_calidad_tablas,sí,sí,7,0,4,4,0,0,2,0,0,13,crm erp,dq_regla dq_scorecard_tabla,,models/gold/13_data_health/rpt_scorecard_calidad_tablas.sql
